Product Name,Model,SKU,Category,Brands,Price (Special Price),Quantity,Total,Points,Weight,Store,Status
,Size/XXL,,,,+0.0000,9,19791,+0,+19.00000000,Default,
Bodycon Jump Suit ( Pink),BP5001,,JumpSuits,Beyond Pink,2199.0000,44,96756,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,19791,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,19791,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,19791,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,8,17592,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,19791,+0,+18.00000000,Default,
Bodycon Jumpsuit ( Grey ),BP5003,,JumpSuits,Beyond Pink,2450.0000,43,105350,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,8,19600,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,22050,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,8,19600,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,22050,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,22050,+0,+20.00000000,Default,
Bodycon Pep Orio Dress,BP 1068,,Womens &gt; Dress,Beyond Pink,1700.0000,39,66300,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,17000,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,10,17000,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,15300,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,17000,+0,+0.00000000,Default,
Butterfly Skater Dress,BP1025,,"Womens,Womens &gt; Dress",Beyond Pink,1950.0000,45,87750,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,17550,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,17550,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,17550,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,17550,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,17550,+0,+8.00000000,Default,
Cardigan With Front Buttons,BP2503,,Winter Wear &gt; Cardigan,Beyond Pink,1200.0000,14,16800,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,3,3600,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,4,4800,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,3,3600,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,4,4800,+0,+0.00000000,Default,
Caroline Shirt  ,BP4008,,Womens &gt; Shirt,Beyond Pink,1650.0000,47,77550,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,16500,+0,+0.00000000,Default,
